cash_flow,own_supporting,user_other,trust_fund,exp_type,gov_level,desccription,year,value,mode,chained_value,estimate_actual,deflator,gov_level_sort_order,mode_sort_order,user_other_grp
Expenditure,-,-,Non-Trust Fund,Non-Capital,State and Local,Local non-capital expenditures - law enforcement,2017,10918488000,Highways,10918488000,Actual,100,1,0,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,State and Local,Local non-capital expenditures - law enforcement,2018,11463031000,Highways,10942600901,Actual,104.756,1,0,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,State and Local,Local non-capital expenditures - law enforcement,2019,11608828000,Highways,10911167923,Actual,106.394,1,0,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,State and Local,Local non-capital expenditures - law enforcement,2020,11973814000,Highways,11204617040,Actual,106.865,1,0,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,State and Local,Local non-capital expenditures - law enforcement,2021,12119039000,Highways,10344095631,Actual,117.159,1,0,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,State and Local,Local non-capital expenditures - law enforcement,2022,12560572000,Highways,9705128958,Actual,129.422,1,0,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,State and Local,Local non-capital expenditures - interest,2010,3149724000,Highways,3627126373,Actual,86.838,1,0,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,State and Local,Local non-capital expenditures - interest,2011,3523603000,Highways,3871835923,Actual,91.006,1,0,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,State and Local,Local non-capital expenditures - interest,2012,3602318000,Highways,3794350056,Actual,94.939,1,0,-
Expenditure,-,-,Total,Non-Capital,Total,-,2014,42197002435,Transit,42872639389,Actual,,9999,1,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,State and Local,Local non-capital expenditures - interest,2013,3800671000,Highways,3907863701,Actual,97.257,1,0,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,State and Local,Local non-capital expenditures - interest,2014,3246443000,Highways,3298191627,Actual,98.431,1,0,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,State and Local,Local non-capital expenditures - interest,2015,2980235000,Highways,3063312022,Actual,97.288,1,0,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,State and Local,Local non-capital expenditures - interest,2016,4154166000,Highways,4278895813,Actual,97.085,1,0,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,State and Local,Local non-capital expenditures - interest,2017,3107767000,Highways,3107767000,Actual,100,1,0,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,State and Local,Local non-capital expenditures - interest,2018,3045961000,Highways,2907672114,Actual,104.756,1,0,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,State and Local,Local non-capital expenditures - interest,2019,3162060000,Highways,2972028498,Actual,106.394,1,0,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,State and Local,Local non-capital expenditures - interest,2020,3261817000,Highways,3052278108,Actual,106.865,1,0,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,State and Local,Local non-capital expenditures - interest,2021,3419176000,Highways,2918406610,Actual,117.159,1,0,-
Expenditure,-,-,Non-Trust Fund,Non-Capital,State and Local,Local non-capital expenditures - interest,2022,3354906000,Highways,2592222342,Actual,129.422,1,0,-
Expenditure,-,-,Non-Trust Fund,Capital,Federal,Non-HTF direct capital outlays,2010,142900000,Highways,159209412,Actual,89.756,0,0,-
Expenditure,-,-,Non-Trust Fund,Capital,Federal,Non-HTF direct capital outlays,2011,294200000,Highways,319120088,Actual,92.191,0,0,-
Expenditure,-,-,Non-Trust Fund,Capital,Federal,Non-HTF direct capital outlays,2012,303200000,Highways,326217938,Actual,92.944,0,0,-
Expenditure,-,-,Non-Trust Fund,Capital,Federal,Non-HTF direct capital outlays,2013,312200000,Highways,330881574,Actual,94.354,0,0,-
Expenditure,-,-,Non-Trust Fund,Capital,Federal,Non-HTF direct capital outlays,2014,212800000,Highways,221212720,Actual,96.197,0,0,-
Expenditure,-,-,Non-Trust Fund,Capital,Federal,Non-HTF direct capital outlays,2015,174200000,Highways,179515453,Actual,97.039,0,0,-
Expenditure,-,-,Non-Trust Fund,Capital,Federal,Non-HTF direct capital outlays,2016,179600000,Highways,183272787,Actual,97.996,0,0,-
Expenditure,-,-,Non-Trust Fund,Capital,Federal,Non-HTF direct capital outlays,2017,92500000,Highways,92500000,Actual,100,0,0,-
Expenditure,-,-,Non-Trust Fund,Capital,Federal,Non-HTF direct capital outlays,2018,95200000,Highways,92458602,Actual,102.965,0,0,-
Expenditure,-,-,Non-Trust Fund,Capital,Federal,Non-HTF direct capital outlays,2019,98100000,Highways,93700750,Actual,104.695,0,0,-
Expenditure,-,-,Non-Trust Fund,Capital,Federal,Non-HTF direct capital outlays,2020,101000000,Highways,96124562,Actual,105.072,0,0,-
Expenditure,-,-,Non-Trust Fund,Capital,Federal,Non-HTF direct capital outlays,2021,104100000,Highways,96116559,Actual,108.306,0,0,-
Expenditure,-,-,Non-Trust Fund,Capital,Federal,Non-HTF direct capital outlays,2022,107200000,Highways,94128390,Actual,113.887,0,0,-
Expenditure,-,-,Non-Trust Fund,Capital,State and Local,State capital expenditures,2010,72571581000,Highways,83571225731,Actual,86.838,1,0,-
Expenditure,-,-,Non-Trust Fund,Capital,State and Local,State capital expenditures,2011,73002308000,Highways,80217027449,Actual,91.006,1,0,-
Expenditure,-,-,Non-Trust Fund,Capital,State and Local,State capital expenditures,2012,76017369000,Highways,80069696331,Actual,94.939,1,0,-
Expenditure,-,-,Non-Trust Fund,Capital,State and Local,State capital expenditures,2013,74412266000,Highways,76510961679,Actual,97.257,1,0,-
Expenditure,-,-,Non-Trust Fund,Capital,State and Local,State capital expenditures,2014,80501275000,Highways,81784473387,Actual,98.431,1,0,-
Expenditure,-,-,Non-Trust Fund,Capital,State and Local,State capital expenditures,2015,81354908000,Highways,83622757175,Actual,97.288,1,0,-
Expenditure,-,-,Non-Trust Fund,Capital,State and Local,State capital expenditures,2016,77999851000,Highways,80341814904,Actual,97.085,1,0,-
Expenditure,-,-,Non-Trust Fund,Capital,State and Local,State capital expenditures,2017,78061604000,Highways,78061604000,Actual,100,1,0,-
Expenditure,-,-,Non-Trust Fund,Capital,State and Local,State capital expenditures,2018,83585920000,Highways,79791057314,Actual,104.756,1,0,-
Expenditure,-,-,Non-Trust Fund,Capital,State and Local,State capital expenditures,2019,85329888000,Highways,80201785815,Actual,106.394,1,0,-
Expenditure,-,-,Non-Trust Fund,Capital,State and Local,State capital expenditures,2020,92050828000,Highways,86137489356,Actual,106.865,1,0,-
Expenditure,-,-,Non-Trust Fund,Capital,State and Local,State capital expenditures,2021,90345304000,Highways,77113413395,Actual,117.159,1,0,-
Expenditure,-,-,Non-Trust Fund,Capital,State and Local,State capital expenditures,2022,89530830000,Highways,69177442784,Actual,129.422,1,0,-
Expenditure,-,-,Non-Trust Fund,Capital,State and Local,Local capital expenditures,2010,26584554000,Highways,30613963933,Actual,86.838,1,0,-
Expenditure,-,-,Non-Trust Fund,Capital,State and Local,Local capital expenditures,2011,27038749000,Highways,29710952025,Actual,91.006,1,0,-
Expenditure,-,-,Non-Trust Fund,Capital,State and Local,Local capital expenditures,2012,28115857000,Highways,29614654673,Actual,94.939,1,0,-
Expenditure,-,-,Non-Trust Fund,Capital,State and Local,Local capital expenditures,2013,23414569000,Highways,24074944734,Actual,97.257,1,0,-
Expenditure,-,-,Non-Trust Fund,Capital,State and Local,Local capital expenditures,2014,24569829000,Highways,24961474535,Actual,98.431,1,0,-
Expenditure,-,-,Non-Trust Fund,Capital,State and Local,Local capital expenditures,2015,31268767000,Highways,32140415056,Actual,97.288,1,0,-
Expenditure,-,-,Non-Trust Fund,Capital,State and Local,Local capital expenditures,2016,25962620000,Highways,26742153783,Actual,97.085,1,0,-
Expenditure,-,-,Non-Trust Fund,Capital,State and Local,Local capital expenditures,2017,32972992000,Highways,32972992000,Actual,100,1,0,-
Expenditure,-,-,Non-Trust Fund,Capital,State and Local,Local capital expenditures,2018,35178060000,Highways,33580950017,Actual,104.756,1,0,-
Expenditure,-,-,Non-Trust Fund,Capital,State and Local,Local capital expenditures,2019,35219923000,Highways,33103298118,Actual,106.394,1,0,-
Expenditure,-,-,Non-Trust Fund,Capital,State and Local,Local capital expenditures,2020,38546545000,Highways,36070317691,Actual,106.865,1,0,-
Expenditure,-,-,Non-Trust Fund,Capital,State and Local,Local capital expenditures,2021,37928931000,Highways,32373894451,Actual,117.159,1,0,-
Expenditure,-,-,Non-Trust Fund,Capital,State and Local,Local capital expenditures,2022,37859582000,Highways,29252817913,Actual,129.422,1,0,-
Revenue,Supporting,Other,Trust Fund,-,Federal,HTF receipts from federal general and other fund liquidity transfers,2010,14700000000,Highways,16377735193,Actual,89.756,0,0,Other
Revenue,Supporting,Other,Trust Fund,-,Federal,HTF receipts from federal general and other fund liquidity transfers,2011,0,Highways,0,Actual,92.191,0,0,Other
Revenue,Supporting,Other,Trust Fund,-,Federal,HTF receipts from federal general and other fund liquidity transfers,2012,2400000000,Highways,2582200034,Actual,92.944,0,0,Other
Revenue,Supporting,Other,Trust Fund,-,Federal,HTF receipts from federal general and other fund liquidity transfers,2013,5883800000,Highways,6235877652,Actual,94.354,0,0,Other
Revenue,Supporting,Other,Trust Fund,-,Federal,HTF receipts from federal general and other fund liquidity transfers,2014,18416200000,Highways,19144256058,Actual,96.197,0,0,Other
Revenue,Supporting,Other,Trust Fund,-,Federal,HTF receipts from federal general and other fund liquidity transfers,2015,6068000000,Highways,6253155948,Actual,97.039,0,0,Other
Revenue,Supporting,Other,Trust Fund,-,Federal,HTF receipts from federal general and other fund liquidity transfers,2016,52000000000,Highways,53063390342,Actual,97.996,0,0,Other
Revenue,Supporting,Other,Trust Fund,-,Federal,HTF receipts from federal general and other fund liquidity transfers,2017,93100000,Highways,93100000,Actual,100,0,0,Other
Revenue,Supporting,Other,Trust Fund,-,Federal,HTF receipts from federal general and other fund liquidity transfers,2018,93400000,Highways,90710436,Actual,102.965,0,0,Other
Revenue,Supporting,Other,Trust Fund,-,Federal,HTF receipts from federal general and other fund liquidity transfers,2019,0,Highways,0,Actual,104.695,0,0,Other
Revenue,Supporting,Other,Trust Fund,-,Federal,HTF receipts from federal general and other fund liquidity transfers,2020,0,Highways,0,Actual,105.072,0,0,Other
Revenue,Supporting,Other,Trust Fund,-,Federal,HTF receipts from federal general and other fund liquidity transfers,2021,10400000000,Highways,9602422765,Actual,108.306,0,0,Other
Revenue,Supporting,Other,Trust Fund,-,Federal,HTF receipts from federal general and other fund liquidity transfers,2022,90000000000,Highways,79025700914,Actual,113.887,0,0,Other
Transfer,-,-,Trust Fund,-,Federal,HTF transfers to S&L from FHWA (Trust Fund Grants),2010,29060705296,Highways,32377451420,Actual,89.756,0,0,-
Transfer,-,-,Trust Fund,-,Federal,HTF transfers to S&L from FHWA (Trust Fund Grants),2011,31954539784,Highways,34661235678,Actual,92.191,0,0,-
Transfer,-,-,Trust Fund,-,Federal,HTF transfers to S&L from FHWA (Trust Fund Grants),2012,37117809722,Highways,39935670642,Actual,92.944,0,0,-
Transfer,-,-,Trust Fund,-,Federal,HTF transfers to S&L from FHWA (Trust Fund Grants),2013,38571574308,Highways,40879638709,Actual,94.354,0,0,-
Transfer,-,-,Trust Fund,-,Federal,HTF transfers to S&L from FHWA (Trust Fund Grants),2014,38754630802,Highways,40286735347,Actual,96.197,0,0,-
Transfer,-,-,Trust Fund,-,Federal,HTF transfers to S&L from FHWA (Trust Fund Grants),2015,38617235848,Highways,39795583062,Actual,97.039,0,0,-
Transfer,-,-,Trust Fund,-,Federal,HTF transfers to S&L from FHWA (Trust Fund Grants),2016,37829077419,Highways,38602675027,Actual,97.996,0,0,-
Transfer,-,-,Trust Fund,-,Federal,HTF transfers to S&L from FHWA (Trust Fund Grants),2017,40605631593,Highways,40605631593,Actual,100,0,0,-
Transfer,-,-,Trust Fund,-,Federal,HTF transfers to S&L from FHWA (Trust Fund Grants),2018,41682011738,Highways,40481728489,Actual,102.965,0,0,-
Transfer,-,-,Trust Fund,-,Federal,HTF transfers to S&L from FHWA (Trust Fund Grants),2019,42419988456,Highways,40517683228,Actual,104.695,0,0,-
Transfer,-,-,Trust Fund,-,Federal,HTF transfers to S&L from FHWA (Trust Fund Grants),2020,45395994325,Highways,43204654260,Actual,105.072,0,0,-
Transfer,-,-,Trust Fund,-,Federal,HTF transfers to S&L from FHWA (Trust Fund Grants),2021,42606054650,Highways,39338591259,Actual,108.306,0,0,-
Transfer,-,-,Trust Fund,-,Federal,HTF transfers to S&L from FHWA (Trust Fund Grants),2022,43338597166,Highways,38054033530,Actual,113.887,0,0,-
Transfer,-,-,Trust Fund,-,Federal,HTF transfers to S&L from Other Agencies,2010,1041100000,Highways,1159922456,Actual,89.756,0,0,-
Transfer,-,-,Trust Fund,-,Federal,HTF transfers to S&L from Other Agencies,2011,1025900000,Highways,1112798429,Actual,92.191,0,0,-
Transfer,-,-,Trust Fund,-,Federal,HTF transfers to S&L from Other Agencies,2012,1268700000,Highways,1365015493,Actual,92.944,0,0,-
Transfer,-,-,Trust Fund,-,Federal,HTF transfers to S&L from Other Agencies,2013,913600000,Highways,968268436,Actual,94.354,0,0,-
Transfer,-,-,Trust Fund,-,Federal,HTF transfers to S&L from Other Agencies,2014,1025400000,Highways,1065937607,Actual,96.197,0,0,-
Transfer,-,-,Trust Fund,-,Federal,HTF transfers to S&L from Other Agencies,2015,946000000,Highways,974865776,Actual,97.039,0,0,-
Transfer,-,-,Trust Fund,-,Federal,HTF transfers to S&L from Other Agencies,2016,522200000,Highways,532878893,Actual,97.996,0,0,-
Transfer,-,-,Trust Fund,-,Federal,HTF transfers to S&L from Other Agencies,2017,713100000,Highways,713100000,Actual,100,0,0,-
Transfer,-,-,Trust Fund,-,Federal,HTF transfers to S&L from Other Agencies,2018,952200000,Highways,924780265,Actual,102.965,0,0,-
Transfer,-,-,Trust Fund,-,Federal,HTF transfers to S&L from Other Agencies,2019,638100000,Highways,609484694,Actual,104.695,0,0,-
Transfer,-,-,Trust Fund,-,Federal,HTF transfers to S&L from Other Agencies,2020,579100000,Highways,551145881,Actual,105.072,0,0,-
Transfer,-,-,Trust Fund,-,Federal,HTF transfers to S&L from Other Agencies,2021,995900000,Highways,919524311,Actual,108.306,0,0,-
Transfer,-,-,Trust Fund,-,Federal,HTF transfers to S&L from Other Agencies,2022,1199100000,Highways,1052885755,Actual,113.887,0,0,-
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,"HTF HA excise taxes, excluding transfers which approximate revenues derived from users of other modes (air, boat, etc.)",2010,30149877480,Highways,33590932617,Actual,89.756,0,0,User-Based
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,"HTF HA excise taxes, excluding transfers which approximate revenues derived from users of other modes (air, boat, etc.)",2011,31960681799,Highways,34667897950,Actual,92.191,0,0,User-Based
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,"HTF HA excise taxes, excluding transfers which approximate revenues derived from users of other modes (air, boat, etc.)",2012,35142865213,Highways,37810794902,Actual,92.944,0,0,User-Based
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,"HTF HA excise taxes, excluding transfers which approximate revenues derived from users of other modes (air, boat, etc.)",2013,31800259125,Highways,33703138314,Actual,94.354,0,0,User-Based
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,"HTF HA excise taxes, excluding transfers which approximate revenues derived from users of other modes (air, boat, etc.)",2014,34066103936,Highways,35412854804,Actual,96.197,0,0,User-Based
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,"HTF HA excise taxes, excluding transfers which approximate revenues derived from users of other modes (air, boat, etc.)",2015,35740259248,Highways,36830819823,Actual,97.039,0,0,User-Based
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,"HTF HA excise taxes, excluding transfers which approximate revenues derived from users of other modes (air, boat, etc.)",2016,36062387580,Highways,36799856709,Actual,97.996,0,0,User-Based
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,"HTF HA excise taxes, excluding transfers which approximate revenues derived from users of other modes (air, boat, etc.)",2017,35698505423,Highways,35698505423,Actual,100,0,0,User-Based
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,"HTF HA excise taxes, excluding transfers which approximate revenues derived from users of other modes (air, boat, etc.)",2018,37265113252,Highways,36192019863,Actual,102.965,0,0,User-Based
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,"HTF HA excise taxes, excluding transfers which approximate revenues derived from users of other modes (air, boat, etc.)",2019,38266722169,Highways,36550668293,Actual,104.695,0,0,User-Based
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,"HTF HA excise taxes, excluding transfers which approximate revenues derived from users of other modes (air, boat, etc.)",2020,37458457891,Highways,35650275898,Actual,105.072,0,0,User-Based
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,"HTF HA excise taxes, excluding transfers which approximate revenues derived from users of other modes (air, boat, etc.)",2021,37932763186,Highways,35023695073,Actual,108.306,0,0,User-Based
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,"HTF HA excise taxes, excluding transfers which approximate revenues derived from users of other modes (air, boat, etc.)",2022,40864539512,Highways,35881654194,Actual,113.887,0,0,User-Based
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,Interest earned on HTF,2010,12315929,Highways,13721566,Actual,89.756,0,0,User-Based
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,Interest earned on HTF,2011,11211555,Highways,12161225,Actual,92.191,0,0,User-Based
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,Interest earned on HTF,2012,4845921,Highways,5213807,Actual,92.944,0,0,User-Based
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,Interest earned on HTF,2013,4639241,Highways,4916846,Actual,94.354,0,0,User-Based
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,Interest earned on HTF,2014,2598433,Highways,2701158,Actual,96.197,0,0,User-Based
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,Interest earned on HTF,2015,1394951,Highways,1437516,Actual,97.039,0,0,User-Based
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,Interest earned on HTF,2016,91965993,Highways,93846681,Actual,97.996,0,0,User-Based
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,Interest earned on HTF,2017,281298256,Highways,281298256,Actual,100,0,0,User-Based
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,Interest earned on HTF,2018,542810134,Highways,527179269,Actual,102.965,0,0,User-Based
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,Interest earned on HTF,2019,620719471,Highways,592883587,Actual,104.695,0,0,User-Based
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,Interest earned on HTF,2020,144624558,Highways,137643290,Actual,105.072,0,0,User-Based
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,Interest earned on HTF,2021,7573050,Highways,6992272,Actual,108.306,0,0,User-Based
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,Interest earned on HTF,2022,728214086,Highways,639418095,Actual,113.887,0,0,User-Based
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,HTF receipts from fines and penalties and other sources,2010,30322765,Highways,33783552,Actual,89.756,0,0,User-Based
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,HTF receipts from fines and penalties and other sources,2011,22753007,Highways,24680291,Actual,92.191,0,0,User-Based
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,HTF receipts from fines and penalties and other sources,2012,22103559,Highways,23781588,Actual,92.944,0,0,User-Based
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,HTF receipts from fines and penalties and other sources,2013,15454279,Highways,16379039,Actual,94.354,0,0,User-Based
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,HTF receipts from fines and penalties and other sources,2014,18603699,Highways,19339167,Actual,96.197,0,0,User-Based
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,HTF receipts from fines and penalties and other sources,2015,24185949,Highways,24923947,Actual,97.039,0,0,User-Based
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,HTF receipts from fines and penalties and other sources,2016,119512749,Highways,121956763,Actual,97.996,0,0,User-Based
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,HTF receipts from fines and penalties and other sources,2017,35006595,Highways,35006595,Actual,100,0,0,User-Based
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,HTF receipts from fines and penalties and other sources,2018,27036407,Highways,26257862,Actual,102.965,0,0,User-Based
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,HTF receipts from fines and penalties and other sources,2019,97614321,Highways,93236851,Actual,104.695,0,0,User-Based
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,HTF receipts from fines and penalties and other sources,2020,107464010,Highways,102276544,Actual,105.072,0,0,User-Based
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,HTF receipts from fines and penalties and other sources,2021,104720511,Highways,96689482,Actual,108.306,0,0,User-Based
Revenue,Own-Source,User-Based,Trust Fund,-,Federal,HTF receipts from fines and penalties and other sources,2022,18666040,Highways,16389965,Actual,113.887,0,0,User-Based
Revenue,Own-Source,User-Based-Transit,Trust Fund,-,Federal,"HTF HA excise taxes, excluding transfers which approximate revenues derived from users of other modes (air, boat, etc.)",2010,4811042000,Highways,5360134141,Actual,89.756,0,0,User-Based
Revenue,Own-Source,User-Based-Transit,Trust Fund,-,Federal,"HTF HA excise taxes, excluding transfers which approximate revenues derived from users of other modes (air, boat, etc.)",2011,4922357687,Highways,5339303931,Actual,92.191,0,0,User-Based
Revenue,Own-Source,User-Based-Transit,Trust Fund,-,Federal,"HTF HA excise taxes, excluding transfers which approximate revenues derived from users of other modes (air, boat, etc.)",2012,5003447070,Highways,5383292165,Actual,92.944,0,0,User-Based
Revenue,Own-Source,User-Based-Transit,Trust Fund,-,Federal,"HTF HA excise taxes, excluding transfers which approximate revenues derived from users of other modes (air, boat, etc.)",2013,4647546164,Highways,4925648265,Actual,94.354,0,0,User-Based
Revenue,Own-Source,User-Based-Transit,Trust Fund,-,Federal,"HTF HA excise taxes, excluding transfers which approximate revenues derived from users of other modes (air, boat, etc.)",2014,4964520903,Highways,5160785578,Actual,96.197,0,0,User-Based
Revenue,Own-Source,User-Based-Transit,Trust Fund,-,Federal,"HTF HA excise taxes, excluding transfers which approximate revenues derived from users of other modes (air, boat, etc.)",2015,5048527972,Highways,5202576255,Actual,97.039,0,0,User-Based
Revenue,Own-Source,User-Based-Transit,Trust Fund,-,Federal,"HTF HA excise taxes, excluding transfers which approximate revenues derived from users of other modes (air, boat, etc.)",2016,5161713279,Highways,5267269357,Actual,97.996,0,0,User-Based
Revenue,Own-Source,User-Based-Transit,Trust Fund,-,Federal,"HTF HA excise taxes, excluding transfers which approximate revenues derived from users of other modes (air, boat, etc.)",2017,5285652727,Highways,5285652727,Actual,100,0,0,User-Based
Revenue,Own-Source,User-Based-Transit,Trust Fund,-,Federal,"HTF HA excise taxes, excluding transfers which approximate revenues derived from users of other modes (air, boat, etc.)",2018,5321818061,Highways,5168569961,Actual,102.965,0,0,User-Based
Revenue,Own-Source,User-Based-Transit,Trust Fund,-,Federal,"HTF HA excise taxes, excluding transfers which approximate revenues derived from users of other modes (air, boat, etc.)",2019,5307422269,Highways,5069413314,Actual,104.695,0,0,User-Based
Revenue,Own-Source,User-Based-Transit,Trust Fund,-,Federal,"HTF HA excise taxes, excluding transfers which approximate revenues derived from users of other modes (air, boat, etc.)",2020,5198053888,Highways,4947135191,Actual,105.072,0,0,User-Based
Revenue,Own-Source,User-Based-Transit,Trust Fund,-,Federal,"HTF HA excise taxes, excluding transfers which approximate revenues derived from users of other modes (air, boat, etc.)",2021,5425314904,Highways,5009246859,Actual,108.306,0,0,User-Based
Revenue,Own-Source,User-Based-Transit,Trust Fund,-,Federal,"HTF HA excise taxes, excluding transfers which approximate revenues derived from users of other modes (air, boat, etc.)",2022,5748256380,Highways,5047333216,Actual,113.887,0,0,User-Based
Expenditure,-,-,Trust Fund,Non-Capital,Federal,HTF direct non-capital outlays,2010,1406100000,Highways,1566580507,Actual,89.756,0,0,-
Expenditure,-,-,Trust Fund,Non-Capital,Federal,HTF direct non-capital outlays,2011,3375000000,Highways,3660877960,Actual,92.191,0,0,-
Expenditure,-,-,Trust Fund,Non-Capital,Federal,HTF direct non-capital outlays,2012,2095300000,Highways,2254368222,Actual,92.944,0,0,-
Expenditure,-,-,Trust Fund,Non-Capital,Federal,HTF direct non-capital outlays,2013,2536600000,Highways,2688386290,Actual,94.354,0,0,-
Expenditure,-,-,Trust Fund,Non-Capital,Federal,HTF direct non-capital outlays,2014,3478700000,Highways,3616225038,Actual,96.197,0,0,-
Expenditure,-,-,Trust Fund,Non-Capital,Federal,HTF direct non-capital outlays,2015,2783900000,Highways,2868846546,Actual,97.039,0,0,-
Expenditure,-,-,Trust Fund,Non-Capital,Federal,HTF direct non-capital outlays,2016,5512400000,Highways,5625127556,Actual,97.996,0,0,-
Expenditure,-,-,Trust Fund,Non-Capital,Federal,HTF direct non-capital outlays,2017,2939100000,Highways,2939100000,Actual,100,0,0,-
Expenditure,-,-,Trust Fund,Non-Capital,Federal,HTF direct non-capital outlays,2018,2021100000,Highways,1962900015,Actual,102.965,0,0,-
Expenditure,-,-,Trust Fund,Non-Capital,Federal,HTF direct non-capital outlays,2019,1745900000,Highways,1667605903,Actual,104.695,0,0,-
Expenditure,-,-,Trust Fund,Non-Capital,Federal,HTF direct non-capital outlays,2020,1323400000,Highways,1259517283,Actual,105.072,0,0,-
Expenditure,-,-,Trust Fund,Non-Capital,Federal,HTF direct non-capital outlays,2021,1012700000,Highways,935035917,Actual,108.306,0,0,-
Expenditure,-,-,Trust Fund,Non-Capital,Federal,HTF direct non-capital outlays,2022,791300000,Highways,694811524,Actual,113.887,0,0,-
Expenditure,-,-,Trust Fund,Non-Capital,Federal,Other agency non-capital outlays of HTF funds,2010,896500000,Highways,998819020,Actual,89.756,0,0,-
Expenditure,-,-,Trust Fund,Non-Capital,Federal,Other agency non-capital outlays of HTF funds,2011,2333400000,Highways,2531049669,Actual,92.191,0,0,-
Expenditure,-,-,Trust Fund,Non-Capital,Federal,Other agency non-capital outlays of HTF funds,2012,2343200000,Highways,2521087967,Actual,92.944,0,0,-
Expenditure,-,-,Trust Fund,Non-Capital,Federal,Other agency non-capital outlays of HTF funds,2013,2265000000,Highways,2400534159,Actual,94.354,0,0,-
Expenditure,-,-,Trust Fund,Non-Capital,Federal,Other agency non-capital outlays of HTF funds,2014,1405800000,Highways,1461376134,Actual,96.197,0,0,-
Expenditure,-,-,Trust Fund,Non-Capital,Federal,Other agency non-capital outlays of HTF funds,2015,1349300000,Highways,1390471872,Actual,97.039,0,0,-
Expenditure,-,-,Trust Fund,Non-Capital,Federal,Other agency non-capital outlays of HTF funds,2016,3108100000,Highways,3171660068,Actual,97.996,0,0,-
Expenditure,-,-,Trust Fund,Non-Capital,Federal,Other agency non-capital outlays of HTF funds,2017,1352300000,Highways,1352300000,Actual,100,0,0,-
Expenditure,-,-,Trust Fund,Non-Capital,Federal,Other agency non-capital outlays of HTF funds,2018,528800000,Highways,513572573,Actual,102.965,0,0,-
Expenditure,-,-,Trust Fund,Non-Capital,Federal,Other agency non-capital outlays of HTF funds,2019,875200000,Highways,835952051,Actual,104.695,0,0,-
Expenditure,-,-,Trust Fund,Non-Capital,Federal,Other agency non-capital outlays of HTF funds,2020,1057300000,Highways,1006262372,Actual,105.072,0,0,-
Expenditure,-,-,Trust Fund,Non-Capital,Federal,Other agency non-capital outlays of HTF funds,2021,1179000000,Highways,1088582350,Actual,108.306,0,0,-
Expenditure,-,-,Trust Fund,Non-Capital,Federal,Other agency non-capital outlays of HTF funds,2022,1241800000,Highways,1090379060,Actual,113.887,0,0,-
